PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
CHE,0,1876,1876,1,f,89,1,TU,2,O,18,.,.,.,1
CHE,0,1876,1876,1,f,90,1,TL,2,O,15,.,.,.,1
CHE,0,1876,1876,1,f,90,1,TU,2,O,16,.,.,.,1
CHE,0,1876,1876,1,f,91,1,TL,2,O,8,.,.,.,1
CHE,0,1876,1876,1,f,91,1,TU,2,O,7,.,.,.,1
CHE,0,1876,1876,1,f,92,1,TL,2,O,5,.,.,.,1
CHE,0,1876,1876,1,f,92,1,TU,2,O,7,.,.,.,1
CHE,0,1876,1876,1,f,93,1,TL,2,O,5,.,.,.,1
CHE,0,1876,1876,1,f,93,1,TU,2,O,5,.,.,.,1
CHE,0,1876,1876,1,f,94,1,TL,2,O,4,.,.,.,1
CHE,0,1876,1876,1,f,94,1,TU,2,O,0,.,.,.,1
CHE,0,1876,1876,1,f,95,1,TL,2,O,1,.,.,.,1
CHE,0,1876,1876,1,f,95,1,TU,2,O,4,.,.,.,1
CHE,0,1876,1876,1,f,96,1,TL,2,O,2,.,.,.,1
CHE,0,1876,1876,1,f,96,1,TU,2,O,2,.,.,.,1
CHE,0,1876,1876,1,f,97,1,TL,2,O,1,.,.,.,1
CHE,0,1876,1876,1,f,97,1,TU,2,O,1,.,.,.,1
CHE,0,1876,1876,1,f,98,1,TL,2,O,1,.,.,.,1
CHE,0,1876,1876,1,f,98,1,TU,2,O,1,.,.,.,1
CHE,0,1876,1876,1,f,99,+,RR,2,O,0,.,.,.,1
CHE,0,1876,1876,1,m,0,1,TL,2,O,7895,.,.,.,1
CHE,0,1876,1876,1,m,0,1,TU,2,O,2164,.,.,.,1
CHE,0,1876,1876,1,m,1,1,TL,2,O,675,.,.,.,1
CHE,0,1876,1876,1,m,1,1,TU,2,O,530,.,.,.,1
CHE,0,1876,1876,1,m,2,1,TL,2,O,318,.,.,.,1
CHE,0,1876,1876,1,m,2,1,TU,2,O,322,.,.,.,1
CHE,0,1876,1876,1,m,3,1,TL,2,O,201,.,.,.,1
CHE,0,1876,1876,1,m,3,1,TU,2,O,211,.,.,.,1
CHE,0,1876,1876,1,m,4,1,TL,2,O,159,.,.,.,1
CHE,0,1876,1876,1,m,4,1,TU,2,O,146,.,.,.,1
CHE,0,1876,1876,1,m,5,1,TL,2,O,115,.,.,.,1
CHE,0,1876,1876,1,m,5,1,TU,2,O,111,.,.,.,1
CHE,0,1876,1876,1,m,6,1,TL,2,O,104,.,.,.,1
CHE,0,1876,1876,1,m,6,1,TU,2,O,95,.,.,.,1
CHE,0,1876,1876,1,m,7,1,TL,2,O,88,.,.,.,1
CHE,0,1876,1876,1,m,7,1,TU,2,O,69,.,.,.,1
CHE,0,1876,1876,1,m,8,1,TL,2,O,53,.,.,.,1
CHE,0,1876,1876,1,m,8,1,TU,2,O,61,.,.,.,1
CHE,0,1876,1876,1,m,9,1,TL,2,O,67,.,.,.,1
CHE,0,1876,1876,1,m,9,1,TU,2,O,76,.,.,.,1
CHE,0,1876,1876,1,m,10,1,TL,2,O,51,.,.,.,1
CHE,0,1876,1876,1,m,10,1,TU,2,O,60,.,.,.,1
CHE,0,1876,1876,1,m,11,1,TL,2,O,56,.,.,.,1
CHE,0,1876,1876,1,m,11,1,TU,2,O,46,.,.,.,1
CHE,0,1876,1876,1,m,12,1,TL,2,O,37,.,.,.,1
CHE,0,1876,1876,1,m,12,1,TU,2,O,51,.,.,.,1
CHE,0,1876,1876,1,m,13,1,TL,2,O,34,.,.,.,1
CHE,0,1876,1876,1,m,13,1,TU,2,O,51,.,.,.,1
CHE,0,1876,1876,1,m,14,1,TL,2,O,53,.,.,.,1
CHE,0,1876,1876,1,m,14,1,TU,2,O,38,.,.,.,1
CHE,0,1876,1876,1,m,15,1,TL,2,O,41,.,.,.,1
CHE,0,1876,1876,1,m,15,1,TU,2,O,66,.,.,.,1
CHE,0,1876,1876,1,m,16,1,TL,2,O,48,.,.,.,1
CHE,0,1876,1876,1,m,16,1,TU,2,O,74,.,.,.,1
CHE,0,1876,1876,1,m,17,1,TL,2,O,45,.,.,.,1
CHE,0,1876,1876,1,m,17,1,TU,2,O,67,.,.,.,1
CHE,0,1876,1876,1,m,18,1,TL,2,O,96,.,.,.,1
CHE,0,1876,1876,1,m,18,1,TU,2,O,88,.,.,.,1
CHE,0,1876,1876,1,m,19,1,TL,2,O,103,.,.,.,1
CHE,0,1876,1876,1,m,19,1,TU,2,O,103,.,.,.,1
CHE,0,1876,1876,1,m,20,1,TL,2,O,82,.,.,.,1
CHE,0,1876,1876,1,m,20,1,TU,2,O,82,.,.,.,1
CHE,0,1876,1876,1,m,21,1,TL,2,O,79,.,.,.,1
CHE,0,1876,1876,1,m,21,1,TU,2,O,87,.,.,.,1
CHE,0,1876,1876,1,m,22,1,TL,2,O,75,.,.,.,1
CHE,0,1876,1876,1,m,22,1,TU,2,O,85,.,.,.,1
CHE,0,1876,1876,1,m,23,1,TL,2,O,90,.,.,.,1
CHE,0,1876,1876,1,m,23,1,TU,2,O,88,.,.,.,1
CHE,0,1876,1876,1,m,24,1,TL,2,O,95,.,.,.,1
CHE,0,1876,1876,1,m,24,1,TU,2,O,104,.,.,.,1
CHE,0,1876,1876,1,m,25,1,TL,2,O,94,.,.,.,1
CHE,0,1876,1876,1,m,25,1,TU,2,O,113,.,.,.,1
CHE,0,1876,1876,1,m,26,1,TL,2,O,86,.,.,.,1
CHE,0,1876,1876,1,m,26,1,TU,2,O,96,.,.,.,1
CHE,0,1876,1876,1,m,27,1,TL,2,O,105,.,.,.,1
CHE,0,1876,1876,1,m,27,1,TU,2,O,104,.,.,.,1
CHE,0,1876,1876,1,m,28,1,TL,2,O,82,.,.,.,1
CHE,0,1876,1876,1,m,28,1,TU,2,O,97,.,.,.,1
CHE,0,1876,1876,1,m,29,1,TL,2,O,79,.,.,.,1
CHE,0,1876,1876,1,m,29,1,TU,2,O,100,.,.,.,1
CHE,0,1876,1876,1,m,30,1,TL,2,O,99,.,.,.,1
CHE,0,1876,1876,1,m,30,1,TU,2,O,108,.,.,.,1
CHE,0,1876,1876,1,m,31,1,TL,2,O,112,.,.,.,1
CHE,0,1876,1876,1,m,31,1,TU,2,O,117,.,.,.,1
CHE,0,1876,1876,1,m,32,1,TL,2,O,98,.,.,.,1
CHE,0,1876,1876,1,m,32,1,TU,2,O,105,.,.,.,1
CHE,0,1876,1876,1,m,33,1,TL,2,O,100,.,.,.,1
CHE,0,1876,1876,1,m,33,1,TU,2,O,117,.,.,.,1
CHE,0,1876,1876,1,m,34,1,TL,2,O,93,.,.,.,1
CHE,0,1876,1876,1,m,34,1,TU,2,O,106,.,.,.,1
CHE,0,1876,1876,1,m,35,1,TL,2,O,101,.,.,.,1
CHE,0,1876,1876,1,m,35,1,TU,2,O,118,.,.,.,1
CHE,0,1876,1876,1,m,36,1,TL,2,O,114,.,.,.,1
CHE,0,1876,1876,1,m,36,1,TU,2,O,132,.,.,.,1
CHE,0,1876,1876,1,m,37,1,TL,2,O,116,.,.,.,1
